_id,dataNotificacao,cnes,ocupacaoSuspeitoCli,ocupacaoSuspeitoUti,ocupacaoConfirmadoCli,ocupacaoConfirmadoUti,saidaSuspeitaObitos,saidaSuspeitaAltas,saidaConfirmadaObitos,saidaConfirmadaAltas,origem,_p_usuario,estadoNotificacao,municipioNotificacao,estado,municipio,excluido,validado,_created_at,_updated_at
xv3Or8iIrb,2020-04-09T03:00:00.000Z,2252287,63,24,8,3,0,0,0,1,parse-cloud,_User$6EJeyq62DD,Rio Grande do Sul,Lajeado,Rio Grande do Sul,Lajeado,false,false,2020-04-15T17:29:39.721Z,2020-08-01T20:45:39.692Z
aHtkEjs7Os,2020-04-10T03:00:00.000Z,2252287,58,22,6,3,0,2,0,0,parse-cloud,_User$6EJeyq62DD,Rio Grande do Sul,Lajeado,Rio Grande do Sul,Lajeado,false,false,2020-04-15T17:31:17.634Z,2020-08-01T20:39:43.659Z
KBfE5wSnyE,2020-04-11T03:00:00.000Z,2252287,56,24,4,3,0,1,0,1,parse-cloud,_User$6EJeyq62DD,Rio Grande do Sul,Lajeado,Rio Grande do Sul,Lajeado,false,false,2020-04-15T17:32:26.480Z,2020-08-01T20:33:36.193Z
SrCMZgocar,2020-04-12T03:00:00.000Z,2252287,57,21,3,4,0,0,0,1,parse-cloud,_User$6EJeyq62DD,Rio Grande do Sul,Lajeado,Rio Grande do Sul,Lajeado,false,false,2020-04-15T17:33:25.446Z,2020-08-01T20:27:31.895Z
Daapo4xH7d,2020-04-13T03:00:00.000Z,2252287,64,23,2,4,0,0,0,1,parse-cloud,_User$6EJeyq62DD,Rio Grande do Sul,Lajeado,Rio Grande do Sul,Lajeado,false,false,2020-04-15T17:34:26.952Z,2020-08-01T20:20:49.652Z
SyWjVGxyKr,2020-04-14T03:00:00.000Z,2252287,58,22,1,4,0,0,0,1,parse-cloud,_User$6EJeyq62DD,Rio Grande do Sul,Lajeado,Rio Grande do Sul,Lajeado,false,false,2020-04-15T17:35:28.317Z,2020-08-01T20:14:34.032Z
VZrYE5SpvE,2020-04-15T03:00:00.000Z,2252287,56,24,4,4,0,0,0,0,parse-cloud,_User$KQvLusLVuO,Rio Grande do Sul,Lajeado,Rio Grande do Sul,Lajeado,false,false,2020-04-15T17:42:14.453Z,2020-08-01T20:08:12.242Z
wxnMihWM4B,2020-03-27T03:00:00.000Z,2562871,1,0,0,0,0,0,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T18:03:52.727Z,2020-08-01T21:39:50.021Z
eWglyVxB15,2020-03-31T03:00:00.000Z,2562871,7,0,0,0,0,0,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T18:05:26.379Z,2020-08-01T21:38:17.620Z
t9CZOyvq2T,2020-04-04T03:00:00.000Z,2562871,3,0,2,0,0,0,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T18:08:52.621Z,2020-08-01T21:18:54.928Z
